Answer,Clue,File
"CEATa","Mulţime separată","/home/adi/workspace/rebus/careuri-definitii/js/a-fost.js"
"UMERAS","Cu haina pe el în casă","/home/adi/workspace/rebus/careuri-definitii/js/abyssus.js"
"BEC","O chestie care te luminează","/home/adi/workspace/rebus/careuri-definitii/js/abyssus.js"
"POLAR","O noapte lungă (masc.)","/home/adi/workspace/rebus/careuri-definitii/js/abyssus.js"
"FOTO","Face o introducere vorbind de imagine","/home/adi/workspace/rebus/careuri-definitii/js/abyssus.js"
"ERA","E vremea unei istorii","/home/adi/workspace/rebus/careuri-definitii/js/abyssus.js"
"CIOBAN","Mioara e dragostea lui","/home/adi/workspace/rebus/careuri-definitii/js/abyssus.js"
"RABDARI","Admiteri grele","/home/adi/workspace/rebus/careuri-definitii/js/abyssus.js"
"LT","Puse la saltea!","/home/adi/workspace/rebus/careuri-definitii/js/abyssus.js"
"CLOR","Face să-şi piardă culoarea","/home/adi/workspace/rebus/careuri-definitii/js/abyssus.js"
"ARSA","Mâna băgată-n foc","/home/adi/workspace/rebus/careuri-definitii/js/abyssus.js"
"REA","Dă dovadă de lipsă a calităţii","/home/adi/workspace/rebus/careuri-definitii/js/abyssus.js"
"IERI","Vine mâine după ea.","/home/adi/workspace/rebus/careuri-definitii/js/abyssus.js"
"TRANSA","A acţiona cu detaşare","/home/adi/workspace/rebus/careuri-definitii/js/abyssus.js"
"REN","Trage datorită muşchilor lui","/home/adi/workspace/rebus/careuri-definitii/js/abyssus.js"
"UO","Unu cu covrig în coadă!","/home/adi/workspace/rebus/careuri-definitii/js/abyssus.js"
"ATLET","Pus pe fugă","/home/adi/workspace/rebus/careuri-definitii/js/abyssus.js"
"RID","Face semn la obraz","/home/adi/workspace/rebus/careuri-definitii/js/abyssus.js"
"ROTARI","Meseria lor rămâne... de căruţă","/home/adi/workspace/rebus/careuri-definitii/js/abyssus.js"
"ITARI","Se încing la horă","/home/adi/workspace/rebus/careuri-definitii/js/abyssus.js"
"CROM","Sub acoperire... face faţă agenţilor","/home/adi/workspace/rebus/careuri-definitii/js/abyssus.js"
"UPERCUTURI","Lovituri venite de jos în sus","/home/adi/workspace/rebus/careuri-definitii/js/abyssus.js"
"MORAL","Un ansamblu de facultăţi","/home/adi/workspace/rebus/careuri-definitii/js/abyssus.js"
"ROIT","Plimbatul cu familia","/home/adi/workspace/rebus/careuri-definitii/js/abyssus.js"
"ELABORA","A lucra la definitivat","/home/adi/workspace/rebus/careuri-definitii/js/abyssus.js"
"DA","Nuia!","/home/adi/workspace/rebus/careuri-definitii/js/abyssus.js"
"RA","Cărare pe mijloc!","/home/adi/workspace/rebus/careuri-definitii/js/abyssus.js"
"DRENA","A face o manevra de a câştiga teren","/home/adi/workspace/rebus/careuri-definitii/js/abyssus.js"
"ARCA","Barcă folosită la inundaţii","/home/adi/workspace/rebus/careuri-definitii/js/abyssus.js"
"ASTRI","Obiectiv de telescop (pl.)","/home/adi/workspace/rebus/careuri-definitii/js/abyssus.js"
"IRA","Firav la trup!","/home/adi/workspace/rebus/careuri-definitii/js/abyssus.js"
"ALO","O vorbă şoptită","/home/adi/workspace/rebus/careuri-definitii/js/abyssus.js"
"FOIRI","Umblări de colo pînă colo","/home/adi/workspace/rebus/careuri-definitii/js/abyssus.js"
"ETC","Succesiune rămasă în pronunţare.","/home/adi/workspace/rebus/careuri-definitii/js/abyssus.js"
"BOB","Alunecă iarna pe zăpadă","/home/adi/workspace/rebus/careuri-definitii/js/abyssus.js"
"SERTAR","Numai tras afară îşi arată secretele","/home/adi/workspace/rebus/careuri-definitii/js/abyssus.js"
"ETALARE","Expunere la masă","/home/adi/workspace/rebus/careuri-definitii/js/abyssus.js"
"RO","Imaginea automobiloştilor în afara ţării","/home/adi/workspace/rebus/careuri-definitii/js/abyssus.js"
"CONT","Are un număr la banii tăi din bancă","/home/adi/workspace/rebus/careuri-definitii/js/abyssus.js"
"INTIM","Ne vine aproape bine","/home/adi/workspace/rebus/careuri-definitii/js/abyssus.js"
"APOCALIPSA","Aflată la capătul lumii","/home/adi/workspace/rebus/careuri-definitii/js/afif.js"
"FUMAT","O patimă arzătoare","/home/adi/workspace/rebus/careuri-definitii/js/afif.js"
"MIOP","Expus la vedere","/home/adi/workspace/rebus/careuri-definitii/js/afif.js"
"UTA","Ecoul unuia suspendat în timpul jocului","/home/adi/workspace/rebus/careuri-definitii/js/afif.js"
"ATENTA","Prinsă în urmărire","/home/adi/workspace/rebus/careuri-definitii/js/afif.js"
"RETICENT","Reţinut cu nişte probleme","/home/adi/workspace/rebus/careuri-definitii/js/afif.js"
"IR","Alifie bună... la transpiraţie!","/home/adi/workspace/rebus/careuri-definitii/js/afif.js"
"MANSETA","Închisă uşor la buton","/home/adi/workspace/rebus/careuri-definitii/js/afif.js"
"SIVE","Fire de oameni la bătrâneţe","/home/adi/workspace/rebus/careuri-definitii/js/afif.js"
"TINUT","Împărţitul teritoriului pe regiuni","/home/adi/workspace/rebus/careuri-definitii/js/afif.js"
"ARGAT","Lucrător într-o casă de modă veche","/home/adi/workspace/rebus/careuri-definitii/js/afif.js"
"RO","Însemnul ţării... pe un protest european!","/home/adi/workspace/rebus/careuri-definitii/js/afif.js"
"NINSI","Albii din zona polară","/home/adi/workspace/rebus/careuri-definitii/js/afif.js"
"ARCA","Mitică pe valuri","/home/adi/workspace/rebus/careuri-definitii/js/afif.js"
"IA","Pofteşte... după unii","/home/adi/workspace/rebus/careuri-definitii/js/afif.js"
"IRITA","A monta fitile","/home/adi/workspace/rebus/careuri-definitii/js/afif.js"
"IDEE","Rodul concepţiei la maturitate","/home/adi/workspace/rebus/careuri-definitii/js/afif.js"
"VESTE","Ţinute la piept pentru siguranţă","/home/adi/workspace/rebus/careuri-definitii/js/afif.js"
"AFURISENII","Pedepse aplicate de părinţi","/home/adi/workspace/rebus/careuri-definitii/js/afif.js"
"PUTERI","Forţele de muncă","/home/adi/workspace/rebus/careuri-definitii/js/afif.js"
"IAD","O groază de păcătoşi","/home/adi/workspace/rebus/careuri-definitii/js/afif.js"
"OMAT","Pătură albă cu puf","/home/adi/workspace/rebus/careuri-definitii/js/afif.js"
"VAN","Lipsit de temei","/home/adi/workspace/rebus/careuri-definitii/js/afif.js"
"CA","Piele de capră dusă la tăbăcar!","/home/adi/workspace/rebus/careuri-definitii/js/afif.js"
"IMERSIE","Rezultatul săriturii de la trambulină","/home/adi/workspace/rebus/careuri-definitii/js/afif.js"
"ATACA","A cere o reexaminare","/home/adi/workspace/rebus/careuri-definitii/js/afif.js"
"GIR","Eliberat pe cauţiune","/home/adi/workspace/rebus/careuri-definitii/js/afif.js"
"TENTA","A băga în ispită","/home/adi/workspace/rebus/careuri-definitii/js/afif.js"
"IV","Centru privat!","/home/adi/workspace/rebus/careuri-definitii/js/afif.js"
"IMENSITATE","Marea cea mare","/home/adi/workspace/rebus/careuri-definitii/js/afif.js"
"PINTEN","Accelerator la hipodrom","/home/adi/workspace/rebus/careuri-definitii/js/afif.js"
"RAS","Făcut cu ochiul","/home/adi/workspace/rebus/careuri-definitii/js/afif.js"
"SOT","Ales în cadrul partidelor","/home/adi/workspace/rebus/careuri-definitii/js/afif.js"
"TURC","Cel ce oferă ciubuc","/home/adi/workspace/rebus/careuri-definitii/js/afif.js"
"APARATOARE","Autoritatea tutelară","/home/adi/workspace/rebus/careuri-definitii/js/afif.js"
"BIRUIT","Masă inconsistentă","/home/adi/workspace/rebus/careuri-definitii/js/alm.js"
"ALBA","Piesă mutată în deschidere","/home/adi/workspace/rebus/careuri-definitii/js/alm.js"
"COLAC","Salvarea... calicilor","/home/adi/workspace/rebus/careuri-definitii/js/alm.js"
"STIUT","Adus la cunoștință","/home/adi/workspace/rebus/careuri-definitii/js/alm.js"
"ADOLESCENTA","Trecătoare pentru oameni adulți","/home/adi/workspace/rebus/careuri-definitii/js/alm.js"
"TI","Ținuturi vestice!","/home/adi/workspace/rebus/careuri-definitii/js/alm.js"
"TS","Trimis pe tușe!","/home/adi/workspace/rebus/careuri-definitii/js/alm.js"
"OR","Intrate în horă!","/home/adi/workspace/rebus/careuri-definitii/js/alm.js"
"IC","Categoria pană","/home/adi/workspace/rebus/careuri-definitii/js/alm.js"
"OSPATARITE","Te servesc în orice fel","/home/adi/workspace/rebus/careuri-definitii/js/alm.js"
"ACE","Sunt pe cale... de schimbare","/home/adi/workspace/rebus/careuri-definitii/js/alm.js"
"ACUZE","Împungeri frontale","/home/adi/workspace/rebus/careuri-definitii/js/alm.js"
"LASA","Iese la bătaie","/home/adi/workspace/rebus/careuri-definitii/js/alm.js"
"ARAMII","Culori din epoca bronzului","/home/adi/workspace/rebus/careuri-definitii/js/alm.js"
"CLADIRE","Tip... imobil","/home/adi/workspace/rebus/careuri-definitii/js/alm.js"
"APA","Dă contur pământului","/home/adi/workspace/rebus/careuri-definitii/js/alm.js"
"ZE","Trup de gazelă!","/home/adi/workspace/rebus/careuri-definitii/js/alm.js"
"EROU","Datul în cărți","/home/adi/workspace/rebus/careuri-definitii/js/alm.js"
"ARGILA","Coaptă în țest","/home/adi/workspace/rebus/careuri-definitii/js/alm.js"
"ARI","Unități de producție","/home/adi/workspace/rebus/careuri-definitii/js/alm.js"
"CLIN","Pământul din vatră","/home/adi/workspace/rebus/careuri-definitii/js/alm.js"
"EMIRAT","Nisipul călcat de pași","/home/adi/workspace/rebus/careuri-definitii/js/alm.js"
"BCATOALCA","Se aplică pentru corecție","/home/adi/workspace/rebus/careuri-definitii/js/alm.js"
"IODISCA","Puntea superioară","/home/adi/workspace/rebus/careuri-definitii/js/alm.js"
"PAL","Albul feței","/home/adi/workspace/rebus/careuri-definitii/js/alm.js"
"RLO","Prezent la apel","/home/adi/workspace/rebus/careuri-definitii/js/alm.js"
"PESCARI","Umblă cu momeli","/home/adi/workspace/rebus/careuri-definitii/js/alm.js"
"UALTA","Răsărită... la țară","/home/adi/workspace/rebus/careuri-definitii/js/alm.js"
"AL","Formă de clasificare","/home/adi/workspace/rebus/careuri-definitii/js/alm.js"
"GN","Genul scurt!","/home/adi/workspace/rebus/careuri-definitii/js/alm.js"
"ICESTA","Omul de lângă mine","/home/adi/workspace/rebus/careuri-definitii/js/alm.js"
"AZI","Prezent... cotidian","/home/adi/workspace/rebus/careuri-definitii/js/alm.js"
"ACADELE","Vorbe dulci","/home/adi/workspace/rebus/careuri-definitii/js/alm.js"
"SCORURI","Numere extrase din tabele","/home/adi/workspace/rebus/careuri-definitii/js/alm.js"
"AM","Comprimat luat înainte de prânz","/home/adi/workspace/rebus/careuri-definitii/js/alm.js"
"ATERIZARE","Revenire după o bătaie bună","/home/adi/workspace/rebus/careuri-definitii/js/alm.js"
"LIN","Se pronunță ușor","/home/adi/workspace/rebus/careuri-definitii/js/alm.js"
"TEMERAR","Întreprinzător particular","/home/adi/workspace/rebus/careuri-definitii/js/alm.js"
"BUTIE","E în toate doagele","/home/adi/workspace/rebus/careuri-definitii/js/alm.js"
"ORA","Termen de predare","/home/adi/workspace/rebus/careuri-definitii/js/alm.js"
"ATAC","Pătrundere forțată","/home/adi/workspace/rebus/careuri-definitii/js/alm.js"
"BIRUIT","Cel care pică","/home/adi/workspace/rebus/careuri-definitii/js/alm.js"
"COLABORARI","Probe de concurs","/home/adi/workspace/rebus/careuri-definitii/js/amintire.js"
"IDOL","Dovadă de iubire","/home/adi/workspace/rebus/careuri-definitii/js/amintire.js"
"ROMAN","Om... cu carte","/home/adi/workspace/rebus/careuri-definitii/js/amintire.js"
"MATURA","Bine coaptă","/home/adi/workspace/rebus/careuri-definitii/js/amintire.js"
"EST","Punct de vedere exprimat într-un protest!","/home/adi/workspace/rebus/careuri-definitii/js/amintire.js"
"IT","Internate la spital!","/home/adi/workspace/rebus/careuri-definitii/js/amintire.js"
"NESAT","Poftit la masă","/home/adi/workspace/rebus/careuri-definitii/js/amintire.js"
"LARGA","Răspândită prin lume","/home/adi/workspace/rebus/careuri-definitii/js/amintire.js"
"NEON","Evidenţiat în propria firmă","/home/adi/workspace/rebus/careuri-definitii/js/amintire.js"
"OALA","Arsă la ochi","/home/adi/workspace/rebus/careuri-definitii/js/amintire.js"
"ARS","Un fel de friptură","/home/adi/workspace/rebus/careuri-definitii/js/amintire.js"
"TIP","Unitate model","/home/adi/workspace/rebus/careuri-definitii/js/amintire.js"
"APELA","A soate în evidenţă","/home/adi/workspace/rebus/careuri-definitii/js/amintire.js"
"USOR","Scăpat de sarcini","/home/adi/workspace/rebus/careuri-definitii/js/amintire.js"
"TRATA","A lucra cu atenţie","/home/adi/workspace/rebus/careuri-definitii/js/amintire.js"
"ROTATIE","Învârtita pe loc","/home/adi/workspace/rebus/careuri-definitii/js/amintire.js"
"IP","Fond scriptic!","/home/adi/workspace/rebus/careuri-definitii/js/amintire.js"
"INERT","Intrat în blocaj","/home/adi/workspace/rebus/careuri-definitii/js/amintire.js"
"STEA","Ţintă luată în obiectiv","/home/adi/workspace/rebus/careuri-definitii/js/amintire.js"
"CIMILITURI","Jocuri la care se prind sătenii","/home/adi/workspace/rebus/careuri-definitii/js/amintire.js"
"ODATA","Un moment de referinţă","/home/adi/workspace/rebus/careuri-definitii/js/amintire.js"
"ISON","O urmărire cu cântec","/home/adi/workspace/rebus/careuri-definitii/js/amintire.js"
"LOT","Trupă de sportivi","/home/adi/workspace/rebus/careuri-definitii/js/amintire.js"
"ROPOTE","Bătăi în faţa scenei","/home/adi/workspace/rebus/careuri-definitii/js/amintire.js"
"ALUNGA","A porni în forţă","/home/adi/workspace/rebus/careuri-definitii/js/amintire.js"
"RAR","Zărit în depărtare","/home/adi/workspace/rebus/careuri-definitii/js/amintire.js"
"REALA","Efective complete (sg.)","/home/adi/workspace/rebus/careuri-definitii/js/amintire.js"
"TT","Tocat fără măsură!","/home/adi/workspace/rebus/careuri-definitii/js/amintire.js"
"ORAS","Centru industrial","/home/adi/workspace/rebus/careuri-definitii/js/amintire.js"
"APTI","Recunoscuţi prin fapte bune","/home/adi/workspace/rebus/careuri-definitii/js/amintire.js"
"RO","Maici plecate de la Roma!","/home/adi/workspace/rebus/careuri-definitii/js/amintire.js"
"AN","Tulpina unei plante!","/home/adi/workspace/rebus/careuri-definitii/js/amintire.js"
"ERES","Păcatul lui să fie...","/home/adi/workspace/rebus/careuri-definitii/js/amintire.js"
"AMETEALA","Vine după o bere","/home/adi/workspace/rebus/careuri-definitii/js/amintire.js"
"RAS","Finalul unui banc bun","/home/adi/workspace/rebus/careuri-definitii/js/amintire.js"
"ORATIE","Dedicaţie de la lăutari","/home/adi/workspace/rebus/careuri-definitii/js/amintire.js"
"INTENS","Foc mistuitor","/home/adi/workspace/rebus/careuri-definitii/js/amintire.js"
"APA","Trecătoare prin defileu","/home/adi/workspace/rebus/careuri-definitii/js/amintire.js"
"TRECUT","Timpul orei de istorie","/home/adi/workspace/rebus/careuri-definitii/js/antiteze.js"
"PAS","Unitate în marş","/home/adi/workspace/rebus/careuri-definitii/js/antiteze.js"
"RETORICA","Ne învaţă să vorbim frumos","/home/adi/workspace/rebus/careuri-definitii/js/antiteze.js"
"ULITA","În trecere prin sat","/home/adi/workspace/rebus/careuri-definitii/js/antiteze.js"
"ARTA","Creatoare de frumos","/home/adi/workspace/rebus/careuri-definitii/js/antiteze.js"
"PIC","Ne da puţină ploaie","/home/adi/workspace/rebus/careuri-definitii/js/antiteze.js"
"RASTEL","Patul puştilor","/home/adi/workspace/rebus/careuri-definitii/js/antiteze.js"
"AC","Puse în saci!","/home/adi/workspace/rebus/careuri-definitii/js/antiteze.js"
"CER","Extraterestru văzut de pe pământ","/home/adi/workspace/rebus/careuri-definitii/js/antiteze.js"
"ERA","Perioada de la seral!","/home/adi/workspace/rebus/careuri-definitii/js/antiteze.js"
"VAR","Primarul rudă cu noi","/home/adi/workspace/rebus/careuri-definitii/js/antiteze.js"
"MARET","Trecut la excepţional","/home/adi/workspace/rebus/careuri-definitii/js/antiteze.js"
"PARAVAN","Piedică în calea privirilor indiscrete","/home/adi/workspace/rebus/careuri-definitii/js/antiteze.js"
"NO","Numărul binomului!","/home/adi/workspace/rebus/careuri-definitii/js/antiteze.js"
"ATU","Avantajul ajungerii la maturitate!","/home/adi/workspace/rebus/careuri-definitii/js/antiteze.js"
"TG","Periferiile târgului!","/home/adi/workspace/rebus/careuri-definitii/js/antiteze.js"
"COBE","Aduce veşti proaste","/home/adi/workspace/rebus/careuri-definitii/js/antiteze.js"
"NERVI","Ne conduc spre ieşire","/home/adi/workspace/rebus/careuri-definitii/js/antiteze.js"
"AFIRMATIVE","Ele dau un răspuns pozitiv","/home/adi/workspace/rebus/careuri-definitii/js/antiteze.js"
"TRUPA","Grup de manevră","/home/adi/workspace/rebus/careuri-definitii/js/antiteze.js"
"PICA","Cade ca bruma","/home/adi/workspace/rebus/careuri-definitii/js/antiteze.js"
"RELICVA","Temă la istorie","/home/adi/workspace/rebus/careuri-definitii/js/antiteze.js"
"OF","Ofiţeri în avanposturi!","/home/adi/workspace/rebus/careuri-definitii/js/antiteze.js"
"ETIC","Susţinătorul ordinii de drept","/home/adi/workspace/rebus/careuri-definitii/js/antiteze.js"
"ARABI","O lume păgână","/home/adi/workspace/rebus/careuri-definitii/js/antiteze.js"
"COT","Abatere... nepedepsită la cursuri","/home/adi/workspace/rebus/careuri-definitii/js/antiteze.js"
"CRATER","O gură fierbinte","/home/adi/workspace/rebus/careuri-definitii/js/antiteze.js"
"URARE","Bună intenţie","/home/adi/workspace/rebus/careuri-definitii/js/antiteze.js"
"VU","Voleu trimis pe extreme!","/home/adi/workspace/rebus/careuri-definitii/js/antiteze.js"
"TI","Tipar din plastic!","/home/adi/workspace/rebus/careuri-definitii/js/antiteze.js"
"ARMA","Pericol de moarte","/home/adi/workspace/rebus/careuri-definitii/js/antiteze.js"
"NA","Poală la haina... de blană!","/home/adi/workspace/rebus/careuri-definitii/js/antiteze.js"
"CAS","Material prelucrat la strungărie","/home/adi/workspace/rebus/careuri-definitii/js/antiteze.js"
"ANTET","Prezentare oficială făcută în scris","/home/adi/workspace/rebus/careuri-definitii/js/antiteze.js"
"PARTER","E de bază pentru constructori","/home/adi/workspace/rebus/careuri-definitii/js/antiteze.js"
"GRI","Genul neutru","/home/adi/workspace/rebus/careuri-definitii/js/antiteze.js"
"TEREN","Legat de glie","/home/adi/workspace/rebus/careuri-definitii/js/antiteze.js"
"VV","Veste repetată în mod vivace!","/home/adi/workspace/rebus/careuri-definitii/js/antiteze.js"
"SPALATORIE","Casă cu multe muieri","/home/adi/workspace/rebus/careuri-definitii/js/antiteze.js"
"INDICATOARE","Îţi dau drumul uşor","/home/adi/workspace/rebus/careuri-definitii/js/apropo.js"
"NOD","Loc de strângere firească","/home/adi/workspace/rebus/careuri-definitii/js/apropo.js"
"AER","Liber este doar afară","/home/adi/workspace/rebus/careuri-definitii/js/apropo.js"
"GEM","Produs, tânguitor, din fructe","/home/adi/workspace/rebus/careuri-definitii/js/apropo.js"
"SR","Ciucuri de şnur!","/home/adi/workspace/rebus/careuri-definitii/js/apropo.js"
"INDUS","Produs... analogic","/home/adi/workspace/rebus/careuri-definitii/js/apropo.js"
"NO","Întâmpinare ardelenească","/home/adi/workspace/rebus/careuri-definitii/js/apropo.js"
"SOC","Pălire de efect","/home/adi/workspace/rebus/careuri-definitii/js/apropo.js"
"CUB","Are putere cât trei","/home/adi/workspace/rebus/careuri-definitii/js/apropo.js"
"RONDEL","Poem standardizat","/home/adi/workspace/rebus/careuri-definitii/js/apropo.js"
"LOVI","A-i da bătaie","/home/adi/workspace/rebus/careuri-definitii/js/apropo.js"
"UDA","Lichidare de prisos!! (fem.)","/home/adi/workspace/rebus/careuri-definitii/js/apropo.js"
"RUG","Scena fierbinte a jertfei","/home/adi/workspace/rebus/careuri-definitii/js/apropo.js"
"TIV","Trasul fustelor jos","/home/adi/workspace/rebus/careuri-definitii/js/apropo.js"
"MAPA","Vinieta birocraţiei","/home/adi/workspace/rebus/careuri-definitii/js/apropo.js"
"POMENI","Mese de luat aminte","/home/adi/workspace/rebus/careuri-definitii/js/apropo.js"
"SUB","Element de pus uşor în inferioritate","/home/adi/workspace/rebus/careuri-definitii/js/apropo.js"
"GAZ","Subiect usor, ce ocupă întregul volum","/home/adi/workspace/rebus/careuri-definitii/js/apropo.js"
"NB","Aură pentru nimb!","/home/adi/workspace/rebus/careuri-definitii/js/apropo.js"
"RESOU","Remarcat la încălzire","/home/adi/workspace/rebus/careuri-definitii/js/apropo.js"
"SA","Scaun pentru locul din spate","/home/adi/workspace/rebus/careuri-definitii/js/apropo.js"
"TOP","Face ordinea ierarhică","/home/adi/workspace/rebus/careuri-definitii/js/apropo.js"
"BIS","Mecanismul repetărilor","/home/adi/workspace/rebus/careuri-definitii/js/apropo.js"
"PUT","Separă coloane de pamânt","/home/adi/workspace/rebus/careuri-definitii/js/apropo.js"
"EXTREMITATE","Sfârşit în spaţiu","/home/adi/workspace/rebus/careuri-definitii/js/apropo.js"
"INSTRUMENTE","Manuale de intervenţie","/home/adi/workspace/rebus/careuri-definitii/js/apropo.js"
"NOR","Originea picatului din cer","/home/adi/workspace/rebus/careuri-definitii/js/apropo.js"
"ODA","Vehicul de ridicare în slavă","/home/adi/workspace/rebus/careuri-definitii/js/apropo.js"
"BOX","Joc sfârşit prematur printr-un OK invers","/home/adi/workspace/rebus/careuri-definitii/js/apropo.js"
"DD","Ge(r)meni de diferend!","/home/adi/workspace/rebus/careuri-definitii/js/apropo.js"
"SNAPS","Tărie specific nemţească","/home/adi/workspace/rebus/careuri-definitii/js/apropo.js"
"PT","Pot fără miză!","/home/adi/workspace/rebus/careuri-definitii/js/apropo.js"
"IOD","Întors după unu!","/home/adi/workspace/rebus/careuri-definitii/js/apropo.js"
"AUR","Galbenul etern pre(ten)ţios","/home/adi/workspace/rebus/careuri-definitii/js/apropo.js"
"CANCER","Produs al înmulţiii necontrolate","/home/adi/workspace/rebus/careuri-definitii/js/apropo.js"
"BEBE","Puşti sau pici la sânul mamei","/home/adi/workspace/rebus/careuri-definitii/js/apropo.js"
"AED","Ocupaţie pentru Orfeu","/home/adi/workspace/rebus/careuri-definitii/js/apropo.js"
"LUP","Etalon de foame mare","/home/adi/workspace/rebus/careuri-definitii/js/apropo.js"
"SIM","Dreptunghiul fără (un) colţ al mobilelor","/home/adi/workspace/rebus/careuri-definitii/js/apropo.js"
"TRUC","Manevră iluzorie","/home/adi/workspace/rebus/careuri-definitii/js/apropo.js"
"GOGOSI","Scorneli din... dospeală","/home/adi/workspace/rebus/careuri-definitii/js/apropo.js"
"SUL","Rulat până la capăt","/home/adi/workspace/rebus/careuri-definitii/js/apropo.js"
"MAU","E vorba de vigoare","/home/adi/workspace/rebus/careuri-definitii/js/apropo.js"
"AG","Începe numerotarea de la Piteşti","/home/adi/workspace/rebus/careuri-definitii/js/apropo.js"
